State,Population of Blind Children,No of Blind Schools,Attending to Scools,NOT Attending to Schools,Latitude,Longitude
Andaman And Nicobar,122,0,0,0,11.66702557,92.73598262
Andhra Pradesh,36033,10,2806,33271,16.574150, 80.356724
Telangana,28045,5,2001,26044,17.3850,78.4867
Arunachal Pradesh,1453,0,0,0,27.10039878,93.61660071
Assam,16126,2,1216,1491,26.7499809,94.21666744
Bihar,172879,6,12965,159914,25.5941,85.1376
Chandigarh,422,1,32,390,30.71999697,76.78000565
Chattisgarh,20906,5,1568,19338,22.09042035,82.15998734
Dadra And Nagar Haveli,92,1,30,62,20.26657819,73.0166178
Delhi,5773,6,533,5240,28.6699929,77.23000403
Goa,565,1,42,523,15.491997,73.81800065
Haryana,13912,4,1902,12010,29.3211,76.3058
Himachal Pradesh,3706,1,278,3428,31.9579,77.1095
Jammu And Kashmir,14489,1,1086,13403,34.184833, 77.115585
Jharkhand,50137,11,6175,43962,23.3441,85.3096
Karnataka,55782,7,4184,51598,12.57038129,76.91999711
Kerala,12080,11,906,11174,9.5916,76.5222
Lakshadweep,67,0,0,0,10.56257331,72.63686717
Madhya Pradesh,62586,15,4694,57892,23.2599,77.4126
Maharashtra,133428,27,31235,102193,19.2610,76.7767
Manipur,5209,1,558,4651,24.79997072,93.95001705
Meghalaya,1939,1,145,1794,25.57049217,91.8800142
Mizoram,481,1,61,421,23.71039899,92.72001461
Nagaland,872,1,292,580,25.6669979,94.11657019
Orissa,52498,48,15246,37252,19.3579,83.5070
Puducherry,447,1,60,387,11.93499371,79.83000037
Punjab,16261,5,2244,14017,30.873804, 75.833999
Rajasthan,53130,6,3985,49145,26.44999921,74.63998124
Sikkim,392,1,80,312,27.3333303,88.6166475
Tamil Nadu,21353,20,2601,18752,10.888763, 78.252856
Tripura,1769,1,179,1590,23.83540428,91.27999914
Uttar Pradesh,213453,12,13345,200108,26.8467,80.9462
Uttarkhand,2021,5,350,1671,29.864126, 78.826344
West Bengal,82538,57,25713,56825,22.5726,88.3639
Gujarat,49091,20,11344,37747,22.2587,71.1924
Daman & Diu,66,0,0,0,20.4283,72.8397